text,start,count
tumour,678,
Ovarian cancer,0,
breast cancer,92,
ovarian cancer,125,
cancer,503,
cancers,612,
breast cancer,632,
hereditary breast and ovarian cancer,742,
ovarian cancer,889,
hereditary ovarian cancer,1192,
breast cancer,1244,
inherited cancer syndrome,1415,
myotonic dystrophy,91,
Myotonic dystrophy,0,
DM,21,
hereditary retinoblastoma,52,
familial or sporadic bilateral retinoblastoma,73,
type IID von Willebrand disease,88,
type IID von Willebrand disease,141,
type IID von Willebrand disease,1303,
Wiskott-Aldrich syndrome,0,
Wiskott-Aldrich syndrome,168,
WAS,195,
WAS,837,
X-linked adrenoleukodystrophy,0,
ALD,32,
demyelination of the central nervous system,75,
adrenal insufficiency,121,
ALD,221,
ALD,368,
Adrenomyeloneuropathy,442,
AMN,466,
Adrenal insufficiency,546,
Addisons disease,570,
AMN,619,
ALD,686,
ALD,727,
Addisons disease,749,
cerebral ALD,1288,
adrenomyeloneuropathy,1311,
ALD,1428,
Prostate cancer,0,
cancer,52,
prostate adenocarcinoma,1037,
prostatic adenocarcinoma,1624,
breast carcinoma,36,
cancers,63,
cancer,107,
cancer,177,
familial breast and ovarian cancer,388,
breast carcinoma,599,
familial breast cancer,649,
breast cancer,729,
tumour,821,
breast cancer,914,
tumours,938,
tumour,1222,
cancers,1289,
breast carcinoma,1307,
pancreatic tumour,1370,
pancreatic cancer,1445,
hereditary breast and ovarian cancer,28,
breast and ovarian cancer,48,
breast-ovarian cancer,1024,
ovarian cancer,1092,
breast-ovarian cancer,1197,
tumors,1324,
tumor,1339,
"prostatic , pancreas , skin , and lung cancer",1405,
oligodendroglioma,1479,
carcinosarcoma,1505,
ovarian cancer,1597,
hereditary breast cancer,1777,
ovarian cancers,1834,
breast and / or ovarian cancer,130,
breast / ovarian cancer,595,
Li-Fraumeni syndrome,93,
Li-Fraumeni syndrome,43,
tumours,602,
tumour,735,
hereditary retinoblastoma,43,
tumor,1304,
nonocular tumors,1338,
Huntington disease,73,
HD,93,
HD,110,
Huntington disease,62,
HD,83,
HD,1098,
HD,1238,
HD,1583,
HD,1690,
Canavan disease,86,
Canavan disease,0,
Canavan disease,153,
Canavan disease,487,
Canavan disease,1178,
Canavan disease,1738,
ataxia-telangiectasia,59,
A-T,83,
Wiskott-Aldrich syndrome,57,
Wiskott-Aldrich syndrome,881,
familial Mediterranean fever,43,
FMF,193,
FMF,435,
FMF,1213,
Myotonic dystrophy,0,
DM,21,
hypertrophic cardiomyopathy,546,
myotonia,707,
cataract,718,
male-infertility,731,
Myotonic dystrophy,0,
DM,21,
DM,388,
breast and ovarian cancers,76,
tumors,172,
coronary heart disease,10,
coronary heart disease,128,
CHD,153,
CHD,720,
CHD,819,
CHD,892,
CHD,1096,
CHD,1239,
CHD,1332,
CHD,1365,
retinoblastoma,38,
