text,start,count
cellular abnormalities,811,
genetic disease,43,
adrenocortical insufficiency,992,
sporadic cancers,253,
fatal lymphoreticular disease,787,
autosomal dominant disorder,32,
eye abnormalities,75,
semidominant developmental disorders,42,
inherited metabolic disorder,337,
disorder of inappropriate apoptosis,624,
inherited human disorder,78,
X-linked recessive neurological disorder,1036,
primary lipomas,1776,
behavioral abnormalities,307,
chromosome abnormalities,812,
autosomal recessive disorder,40,
Immune defects,768,
inherited human disease,30,
behavioral abnormalities,1100,
deficiencies of complement components,1112,
bacterial infections,73,
behavioral abnormalities,1108,
cancers,843,
tumors,911,
stage III cancers,1426,
X-linked immunodeficiency disease,42,
autosomal dominant disease,67,
enzyme deficiency,703,
autosomal recessive disorder,36,
severely handicapped,226,
defective formation of type II collagen,60,
metastasis,796,
recessively inherited condition,87,
bone dysplasia,1005,
bone dysplasia,742,
bone dysplasia,1179,
inherited disorder of skeletal muscle,44,
tumor types,357,
cancer ,268,
genetic disorder,28,
solid tumor,202,
cancer-associated diseases,41,
neuromuscular disease,403,
autosomal dominant multisystem disorder,60,
diminished GALC activity,461,
diminished GALC activity,1014,
spastic paraplegia,382,
