text,start,count
breast and ovarian cancer,72,
ovarian cancer,83,
tumour,678,
inherited breast and ovarian cancer,62,
breast,72,
Ovarian cancer,0,
ovarian cancer,889,
breast cancer,1244,
breast cancer,92,
hereditary ovarian cancer,1192,
cancer,503,
hereditary breast and ovarian cancer,742,
ovarian cancer,125,
breast cancer,632,
myotonic dystrophy,91,
Myotonic dystrophy,0,
Myotonic dystrophy ( DM,0,
DM,21,
DM,1123,
DM,437,
hereditary retinoblastoma,52,
familial or sporadic bilateral retinoblastoma,73,
familial,73,
Type II human complement C2 deficiency,0,
Type II C2 deficiency,522,
Type II complement protein C2 deficiency,0,
Type II deficiency,297,
Type I C2 deficiency,238,
type IID von Willebrand disease,88,
type IID von Willebrand disease,141,
type IID von Willebrand disease,1303,
Wiskott-Aldrich syndrome,0,
WAS,837,
Wiskott-Aldrich,168,
WAS,195,
Wiskott-Aldrich syndrome,168,
syndrome,184,
X-linked adrenoleukodystrophy,0,
idiopathic Addison's disease,53,
Adrenomyeloneuropathy,442,
adrenomyeloneuropathy with cerebral involvement,1311,
AMN,619,
ALD,221,
Addisons disease,570,
adrenomyeloneuropathy,1311,
X-Linked adrenoleukodystrophy,0,
cerebral ALD,626,
AMN,466,
ALD,686,
ALD,635,
cerebral ALD,1288,
Addisons disease,749,
elevated plasma concentrations of very long chain fatty acids,1054,
accumulation of very long chain fatty acids in tissue and body fluids,149,
ALD,1428,
idiopathic Addisons disease,1455,
preclinical AMN,1373,
Adrenomyeloneuropathy ( AMN,442,
ALD,368,
ALD,727,
ALD,32,
primary idiopathic adrenocortical insufficiency,973,
Tumor,0,
human prostate carcinoma,35,
tumor,874,
tumor,1485,
cancer,52,
Prostate cancer,0,
prostate adenocarcinoma,1445,
prostate carcinomas,380,
prostate adenocarcinoma,1037,
prostatic adenocarcinoma,918,
prostatic adenocarcinoma,1624,
human prostate carcinoma,1506,
prostate,281,
breast carcinoma,36,
breast,36,
carcinoma,43,
familial breast and ovarian cancer,388,
cancer,416,
pancreatic,1445,
breast carcinoma,1307,
breast cancer,914,
tumour,1222,
tumour,821,
pancreatic tumour,1370,
carcinoma,606,
cancer,1456,
breast cancers,1152,
familial,388,
breast and ovarian cancers,478,
breast,599,
cancers,262,
tumour,37,
breast cancer,729,
breast,397,
breast,1307,
pancreatic cancer,1445,
breast carcinoma,599,
cancers,1159,
familial breast cancer,649,
hereditary breast and ovarian cancer,28,
prostatic,1405,
ovarian cancers,1834,
hereditary breast cancer,1777,
carcinosarcoma,1505,
breast and ovarian cancer,48,
oligodendroglioma,1479,
tumor,1339,
malignant melanoma,1455,
breast-ovarian cancer,1024,
ovarian cancer,1092,
ovarian cancer,1597,
"prostatic , pancreas , skin , and lung cancer",1405,
breast-ovarian cancer,1197,
hereditary,1777,
Familial Ovarian Cancer,109,
breast and / or ovarian cancer,130,
ovarian cancer,725,
breast and / or ovarian cancer,709,
breast / ovarian cancer,595,
Li-Fraumeni syndrome,93,
Li-Fraumeni syndrome,43,
leiomyosarcoma,659,
tumours,432,
tumour,113,
hereditary,43,
hereditary retinoblastoma,43,
retinoblastoma,54,
tumor,1304,
hereditary,66,
retinoblastoma,77,
hereditary retinoblastoma,66,
Huntington disease,73,
HD,93,
HD,110,
HD,1690,
HD,1583,
HD,1238,
Huntington disease,62,
HD,1098,
HD,83,
Canavan disease,86,
Canavan disease,0,
Canavan disease,487,
Canavan disease,1178,
Canavan disease,153,
Canavan disease,1738,
ataxia-telangiectasia,59,
A-T,83,
Wiskott-Aldrich syndrome,25,
scurfy,760,
Wiskott-Aldrich syndrome,57,
Wiskott-Aldrich syndrome,881,
familial,43,
fever,66,
Mediterranean,52,
familial Mediterranean fever,43,
FMF,435,
fever,185,
FMF,1213,
familial,162,
Mediterranean,171,
FMF,193,
familial Mediterranean fever,162,
Abnormal myotonic dystrophy,0,
myotonic dystrophy,9,
hypertrophic cardiomyopathy,546,
fibre-type dependent atrophy,676,
DM,650,
DM,21,
myotonia,707,
Myotonic dystrophy,0,
DM-protein,96,
enhanced neonatal mortality,578,
cataract,718,
male-infertility,731,
onset,66,
late,61,
progressive,72,
myopathy,84,
progressive myopathy,72,
DM,207,
DM,788,
DM,21,
progressive skeletal myopathy,314,
Myotonic dystrophy,0,
DM,388,
"late-onset , progressive skeletal myopathy",301,
tumor,4,
breast and ovarian cancers,76,
coronary heart disease,10,
CHD,892,
CHD,819,
CHD,1096,
CHD,720,
CHD,1239,
CHD,153,
CHD,1365,
CHD,1332,
coronary heart disease,128,
retinoblastoma,38,
Wiskott-Aldrich syndrome,0,
Wiskott-Aldrich syndrome,4,
WAS,802,
syndrome,20,
Wiskott-Aldrich,4,
X-linked thrombocytopenia,131,
WAS,103,
severe eye abnormalities,68,
Small eye,20,
Small eye,436,
hypoplasia,172,
Aniridia,0,
lack eyes and nasal cavities,201,
iris hypoplasia,167,
exhibit brain abnormalities,234,
galactosemia,1502,
galactosemia,366,
HD,87,
HD,610,
HD,327,
Huntington disease,66,
Huntington,66,
sporadic breast / ovarian tumorigenesis,139,
breast / ovarian cancer,67,
Prader-Willi syndrome,69,
PWS,529,
PWS,172,
Prader-Willi syndrome,106,
PWS,130,
PWS,459,
tumour,44,
von Hippel-Lindau disease,18,
VHL,1125,
haemangioblastoma,409,
VHL,678,
VHL,1033,
VHL,796,
sporadic renal cell carcinoma,375,
VHL,1451,
VHL,1630,
VHL,24,
VHL,351,
von Hippel-Lindau ( VHL ) disease,4,
VHL,1336,
VHL-mediated,1731,
VHL,1551,
renal cell carcinoma,264,
VHL,954,
renal cell carcinoma and haemangioblastoma,384,
VHL,159,
phaeochromocytoma,289,
"retinal , cerebellar and spinal haemangioblastomas",211,
VHL,527,
breast,36,
hereditary breast cancer,25,
breast cancer,31,
hereditary breast cancer,1361,
hereditary breast cancers,413,
hereditary breast cancer,330,
breast or ovarian cancer,717,
breast cancer,618,
hereditary breast cancer,1521,
hereditary breast or ovarian cancer,515,
hereditary breast cancer,185,
