text,start,count
cancers,612,
Adrenal insufficiency,546,
cancer,107,
cancer,177,
tumours,938,
cancers,1289,
tumours,602,
tumour,735,
hereditary cancer,909,
tumours,871,
tumours,11,
tumours,1528,
immune defects,98,
meningitis,107,
anxiety,99,
chondrodysplasias,108,
renal lesions,420,
cancer,1310,
cancer,720,
splenomegaly,669,
lymphadenopathy,686,
tremors,550,
mental retardation,574,
dementia,628,
personality disorders,640,
restricted joint mobility,268,
blindness,300,
renal nephropathy,367,
gonadal anomaly,387,
tumors,609,
cancers,848,
tumours,1428,
