text,start,count
inherited breast and ovarian cancer ,62,
sporadic breast and ovarian cancers,469,
familial breast and ovarian cancer,388,
"prostatic , pancreas , skin , and lung cancer",1405,
breast and / or ovarian cancer,130,
breast and / or ovarian cancer,709,
"retinal , cerebellar and spinal haemangioblastomas",211,
stage II or stage III colorectal cancer,1265,
stage II and III colorectal carcinomas,523,
stage II and stage III colorectal carcinomas,824,
"breast , ovarian , or other cancers",857,
breast and / or ovarian cancer,241,
Duarte and Los Angeles variant galactosemia,20,
"brain, breast, and prostate cancer",68,
breast and ovarian cancer,832,
breast and ovarian cancer,1005,
breast and / or ovarian cancer,83,
Duarte galactosemia,436,
classical and ,422,
hematopoietic and solid tumors,41,
