text,start,count
DM,153,
DM,349,
von Willebrand,26,
von Willebrand,59,
HD,190,
DM,643,
DM,165,
WAS,583,
von Hippel-Lindau disease tumour,18,
VHL,1731,
VHL,189,
VHL,35,
VHL,958,
VHL,846,
lipoma,609,
lipoma,696,
PAH-deficient,446,
PAH-deficient,715,
male breast cancer,975,
AT,68,
C6-deficient,933,
HPRT-APRT-deficient,0,
colorectal cancer,535,
tumor,678,
tumor,655,
ACG1B,1724,
WAS,148,
WAS,267,
APC,37,
multiple endocrine neoplasia ( MEN ) types 1 and 2,1026,
DM,164,
SJS,1621,
SJS,1676,
galactosemia,706,
DM,860,
DM,190,
DM,894,
