text,start,count
Addison's disease,64,
Addisons disease,1466,
AMN,1385,
prostate carcinoma,41,
prostate carcinoma,1512,
prostate carcinomas,281,
sporadic breast cancers,1143,
deficiency of ASPA,1688,
deficiency of aspartoacylase,83,
atrophy,697,
fibrosis,482,
fibre degeneration,459,
CETP deficiency,1271,
WAS,39,
FED,1063,
renal cell carcinomas,626,
renal cell carcinomas,416,
G6PD deficiency,1219,
glucose-6-phosphate dehydrogenase ( G6PD ) deficiency,205,
deficiency of hepatic phenylalanine hydroxylase,81,
thymic lymphomas,1171,
HPRT-deficiency,532,
deficiency of APRT,493,
Complete hypoxanthine-guanine phosphoribosyl-transferase ( HPRT ) deficiency,0,
colorectal cancers,46,
colorectal cancers,959,
colorectal cancers,1040,
DCC-negative tumors,1008,
stage III disease,1102,
stage II colorectal carcinomas,1310,
AO2,1609,
AO2,1223,
DTD,768,
DTDST chondrodysplasias,326,
DTD,1616,
Wiskott-Aldrich syndrome,4,
WAS,1337,
isolated thrombocytopenia,1172,
adenomatous polyposis coli,120,
APC,328,
Autosomal dominant primary hyperparathyroidism and jaw tumor syndrome,0,
renal hamartomas ,1662,
parathyroid tumor,1615,
jaw tumor,1599,
favism,379,
LA variant of galactosemia,1713,
primary glioblastomas,453,
Schwartz-Jampel syndrome,4,
chondrodystrophic myotonia,37,
SJS type 2,1384,
SJS,31,
SJS,1464,
SJS  type 1A,942,
sporadic Wilms tumours,261,
kidney cancer,89,
IDDM,149,
IDDM,257,
Deficiency of terminal complement components,224,
C9 deficiency ,549,
breast cancer,1215,
breast cancer,702,
ovarian cancer,972,
breast cancer,1450,
breast cancers,1246,
breast cancer,630,
ovarian cancer,724,
breast cancer,423,
breast cancer,940,
ovarian cancer,1391,
complete deficiency of C9,845,
C9 deficiency,951,
alveolar rhabdomyosarcoma,214,
clear-cell renal cell carcinoma,95,
RCC,1750,
von Hippel-Lindau disease,1720,
IF-GLD,1602,
adult onset globoid cell leukodystrophy,78,
