text,start,count
tumour,678,
Ovarian cancer,0,
inherited cancer syndrome,1415,
cancers,612,
cancer,503,
hereditary breast and ovarian cancer,742,
myotonic dystrophy,91,
DM,1123,
DM,437,
familial or sporadic bilateral retinoblastoma,73,
Wiskott-Aldrich syndrome,0,
idiopathic Addison's disease,53,
Adrenal insufficiency,546,
adrenal insufficiency,121,
demyelination of the central nervous system,75,
accumulation of very long chain fatty acids in tissue and body fluids,149,
idiopathic Addisons disease,1455,
preclinical AMN,1373,
human prostate carcinoma,35,
cancer,52,
prostate adenocarcinoma,1037,
human prostate carcinoma,1506,
cancers,63,
tumour,1222,
cancer,107,
pancreatic tumour,1370,
tumour,821,
familial breast and ovarian cancer,388,
cancers,1289,
cancers,262,
cancer,177,
familial breast cancer,649,
tumours,938,
breast cancers,1152,
hereditary breast and ovarian cancer,28,
hereditary breast cancer,1777,
breast and ovarian cancer,48,
tumors,1324,
tumor,1339,
breast-ovarian cancer,1024,
"prostatic , pancreas , skin , and lung cancer",1405,
breast-ovarian cancer,1197,
ovarian cancer,1092,
Familial Ovarian Cancer,109,
breast and / or ovarian cancer,130,
breast / ovarian cancer,595,
tumour,735,
tumours,602,
retinoblastoma,54,
tumor,1304,
nonocular tumors,1338,
retinoblastoma,77,
Huntington disease,73,
HD,93,
HD,110,
HD,1690,
HD,1098,
DM,207,
DM,788,
breast and ovarian cancers,76,
tumors,172,
CHD,1365,
CHD,892,
Wiskott-Aldrich syndrome,4,
WAS,103,
WAS,802,
severe eye abnormalities,68,
lack eyes and nasal cavities,201,
developmental abnormalities of the eye,587,
HD,327,
PWS,529,
PWS,459,
tumour,44,
von Hippel-Lindau disease,18,
VHL,678,
VHL,1451,
VHL,1630,
VHL,159,
"retinal , cerebellar and spinal haemangioblastomas",211,
von Hippel-Lindau ( VHL ) disease,4,
VHL,351,
VHL,1551,
breast cancer,618,
hereditary breast or ovarian cancer,515,
breast or ovarian cancer,717,
hereditary cancer,909,
fish-eye,104,
h FE,1061,
A-T,414,
A-T,948,
A-T,195,
chromophobe renal cell carcinomas,614,
chromophobe renal cell carcinomas,404,
tumours,871,
EMDM,643,
EDMD,793,
tumours,265,
endometrial carcinoma,806,
hereditary nonpolyposis colorectal cancer,188,
tumours,1528,
tumours,11,
HNPCC,232,
ND,69,
ND,917,
ND,156,
ND,201,
ND,515,
DM,163,
DM,42,
DM,340,
myotonic dystrophy,21,
myotonic dystrophy,1154,
DM,657,
Huntington disease,119,
HD,92,
HD,746,
HD,503,
HD,246,
familial aniridia,744,
epilepsies,934,
inherited breast cancer,378,
breast cancer,980,
breast cancer,1697,
inherited breast / ovarian cancer,276,
AT,266,
AT,44,
cancer,1055,
ataxia-telangiectasia,20,
immune defects,98,
growth-retarded,515,
infertile,537,
recurrent bacterial infections,63,
