group	invite_date	public_date	close_date
CDG	2015.05.12	2015.05.21	2015.07.29
Alacrima	2015.05.21	2015.05.22	2015.06.19
OGD	2015.05.29	2015.05.29	2015.11.13
FBX-Engase	2015.06.25	2015.06.26	2015.08.14
OST	2015.07.31	2015.08.07	2016.04.03
mfold	2015.09.10	2015.09.11	2015.11.19
Eeyarestatin	2015.11.04	2015.11.06	2015.12.25
mitomis	2015.11.10	2015.11.11	2016.03.04
ATGS	2015.12.28	2015.12.30	2016.04.14
MATG	2016.02.24	2016.02.26	2016.04.18
MATGS	2016.04.15	2016.04.15	2016.05.09
HSPT1	2016.04.15	2016.04.15	
HSPT2	2016.04.25	2016.05.06	
OXGALT	2016.05.13	2016.05.20		
